姓名,出生地,毕业院校,专业背景
骆惠宁,安徽,中国人民大学,博士
秦生祥,湖北,中央党校, 
袁家军,吉林,北京航空学院z航空航天部空间技术研究院,博士
袁誉柏,湖北,,军人
袁曙宏,安徽,北京大学z中国政法大学,博士
聂辰席,灵寿,中国科技大学,天津大学,博士
栗战书,河北,河北师范大学,硕士
钱小芊,江苏,中国人民大学,其他
铁凝,河北,,其他
倪岳峰,安徽,清华大学,博士
徐麟,上海,,硕士
徐乐江,山东,中央党校,其他
徐安祥,江苏,,军人
高津,江苏,二炮指挥学院,其他
郭声琨,江西,北京科技大学,博士
郭树清,内蒙古,中国社会科学院研究生院,博士
唐仁健,重庆,西南财经大学,博士
黄明,江苏,江苏公安专科学校z南京师范大学,其他
黄守宏,河南,北京农业大学z中国农业科学,博士
黄坤明,福建,清华大学,博士
黄树贤,江苏,南京大学,其他
曹建明,江苏,华东政法学院,硕士
龚正,江苏,厦门大学,博士
盛斌,辽宁,国防大学,硕士
雪克来提·扎克尔,新疆,中央党校,硕士
鄂竟平,河北,华北水利水电大学,其他
鹿心社,山东,中央党校,其他
谌贻琴,贵州,中央党校,其他
彭清华,湖北,中山大学,博士
蒋超良,湖南,西南财经大学,硕士
韩正,浙江,华东师范大学,硕士
韩卫国,河北,国防大学,硕士
韩长赋,,中央党校,博士
傅政华,河北,北京大学,硕士
谢伏瞻,湖北,中央党校,硕士
楼阳生,浙江,浙江大学,硕士
蔡奇,福建,福建师范大学,博士
蔡名照,山东,中央党校,其他
